,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyvää viikonloppua>,65,0.0,19.5,11.69045194450012,22.989703676778053,17.705010058611734,6.425,8.13314680324147,4.45,2.9867227558835823,3.9,6.045977683869347,0.35,0.5334935656738369,0.925,1.248332220738267,0.5411584189169424,0.15558109175015838,25.2,19.15951929165185,41.32852434687219,27.345422185844495,287.4843124425525,83.68747516998496,0.4,0.4961389383568338,0.45,0.5038314736557788,127.3468751368732,60.12797940965322
hän oli yläkerrassa>,17,0.0,19.5,11.69045194450012,24.366141187821732,16.740761623577914,5.6,8.142323740642832,5.45,3.42651800535553,6.6,12.565316529526008,0.55,0.8755950357709131,1.025,1.349026239504553,0.556207685826852,0.20426071259288325,33.675,29.227127809622345,58.080218646883075,37.050036893909166,283.17121661800627,78.40899576862427,0.55,0.5038314736557788,0.375,0.49029033784546017,118.77882615004162,70.22835692610816
kiitos hyvää työtä>,75,0.0,19.5,11.69045194450012,34.9863566499894,11.264951632977063,1.275,3.86295688526754,5.15,1.5283643007795737,4.075,6.056941345393602,0.225,0.42290206176626033,1.125,1.304577738934356,0.6171673738228232,0.11226417186900667,31.95,11.502396628752123,70.86474582486089,19.779151745483198,248.11546693727593,1.2048603971033442,0.575,0.5006406152531231,0.15,0.3616202853397895,85.97128729662879,27.056722622037338
kiitos kaikesta avusta>,48,0.0,19.5,11.69045194450012,33.040720313550175,9.61410692583984,2.15,5.549543755790731,7.175,2.352167576447798,6.625,11.824978993855686,0.525,0.5541220822628188,1.4,1.10476822026741,0.6615086354744479,0.1373944067062894,41.9,23.147021738975734,108.03294897493677,28.571238311683494,249.2005208091711,1.7015255378862773,0.7,0.46409548089225705,0.15,0.3616202853397895,79.69284293987042,32.439240544245806
kiitos vastauksestasi>,5,0.0,19.5,11.69045194450012,32.70076370180914,11.001706214319292,1.575,4.517132628060325,6.925,2.3136994463856206,6.3,7.466849814603623,0.55,0.6774764637788969,1.525,1.5019218457593693,0.6131175079492743,0.13244128598288832,40.45,13.530497366111819,94.598700081796,27.81948154661877,248.4029442852207,1.3879653748679321,0.6,0.49613893835683376,0.15,0.3616202853397895,89.47154424592837,31.734112515441137
kokeilen uudestaan>,27,0.0,19.5,11.69045194450012,29.961472577695844,12.979023943853454,4.15,6.31461471305724,6.525,3.88281882802714,8.55,14.003570973148243,0.5,0.6793662204867574,1.3,1.181046906296187,0.5263468931931194,0.13906621025132265,39.95,30.51435139447734,66.5591033054775,24.894496516377327,247.32045159659515,1.7458330548735679,0.425,0.5006406152531231,0.35,0.4830458915396479,108.87867159630586,33.60850565405885
kuinka hän pärjää siellä>,18,0.0,19.5,11.69045194450012,34.63204879344203,10.765601226605918,3.625,6.848872263522753,7.025,2.740835545445857,5.8,9.41139516619927,0.85,1.1220402662000855,1.025,1.2297070737291411,0.631685629471695,0.14474344536571981,40.35,18.284854318148053,89.77971391602031,30.274325026617458,248.23801242020812,1.5970930769187508,0.525,0.5057363253408151,0.275,0.45220258677630265,87.32236542256854,32.919387608187854
kuulostaa hyvältä>,4,0.0,19.5,11.69045194450012,33.85896959097403,11.001232195308,1.375,3.592638484742277,5.825,2.872392909342492,5.25,9.214676142451042,0.4,0.5453768398418634,1.025,1.1206110970221697,0.5965661147488814,0.13114243691688757,33.8,20.267695655389325,64.58481982942831,17.080493788117906,247.74354048460333,1.380900858731855,0.625,0.4902903378454601,0.2,0.40509574683346666,91.05773388453292,30.904995185351435
kävin lääkärissä eilen>,2,0.0,19.5,11.69045194450012,31.40836697737471,12.440599641084125,3.175,5.583342900872017,7.425,3.768203680052204,9.825,17.708302413246006,0.55,0.7493587001820033,1.725,1.9740301091409096,0.635567046900643,0.1675255035003492,47.325,34.67385588669484,96.01272166129792,31.350255191595664,247.8875650160343,2.253817661770286,0.5,0.5063696835418333,0.325,0.4743416490252569,86.27046368092091,38.9589159720622
kävin ostoksilla tänään>,70,0.0,19.5,11.69045194450012,32.391842718799325,12.7131753173942,3.55,7.143043953601078,6.875,2.642721014215151,5.975,7.7773092044445855,0.525,0.6788942744621108,1.25,1.3349349355123201,0.6357086861293821,0.1741476693590764,39.825,17.816568923480418,89.457956380762,32.7920788273457,248.1657672796642,1.8365705507449563,0.575,0.5006406152531232,0.25,0.4385290096535146,81.78615443136606,37.08661347786045
lähetä paperit minulle>,55,0.0,19.5,11.69045194450012,35.000248798906725,10.846812667371223,5.175,7.313098540045132,6.525,3.5154421248732475,6.4,14.450268385405732,0.725,0.9333562268254528,0.85,1.1886212655091246,0.7066979431055518,0.1652742059331768,38.6,32.28860241871497,92.83309932193357,27.2889769761598,249.22665505003252,1.9155894497722854,0.45,0.5038314736557788,0.45,0.503831473655779,68.71177096800328,37.212533163183956
lähetätkö sähköpostia>,20,0.0,19.5,11.69045194450012,32.540827769689486,9.82100803901175,2.725,5.755654967296432,6.45,1.9605075219416381,4.625,4.839408207092246,0.6,0.6324555320336759,1.075,0.8589647913741942,0.6845451625687946,0.14821768115221923,35.8,11.034212529847618,96.54208669859366,29.910362418865446,248.9453661170346,1.6679399267476664,0.675,0.47434164902525694,0.2,0.40509574683346666,72.73940958967057,31.758448326387885
