,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meidät otettiin vastaan>,73,0.0,19.5,11.69045194450012,32.83068415647935,11.300923038634167,4.55,10.47818246130061,7.725,4.2304603616858145,7.85,14.52945725776184,0.6,0.8711913446392583,1.525,1.7684920419849512,0.6233508021402085,0.14417138515942662,45.8,32.84321730703195,95.53675605098354,33.38133865630054,248.21211717475876,1.569669509958579,0.575,0.5006406152531232,0.275,0.45220258677630254,88.48687156630959,33.055627684814915
mikä sinulla on vialla>,11,0.0,19.5,11.69045194450012,35.45025921804258,11.06252741271222,1.95,4.728256576837837,6.95,2.3309511649396115,5.05,9.713722780500287,0.5,0.6405126152203485,1.075,1.248332220738267,0.6724464760467536,0.16276488487084878,39.075,18.980945235980265,96.85872628944433,24.64520805246207,249.25248784387222,1.73377274657542,0.5,0.5063696835418333,0.2,0.4050957468334666,79.12316829821233,35.972836418478785
minkä niistä valitsit>,12,0.0,19.5,11.69045194450012,33.02357912865419,10.35024680572624,3.05,6.740425308044985,6.25,2.404589628616759,3.925,4.251017977632398,0.7,0.7909747313543116,1.025,1.0738738884082841,0.6848889722188269,0.13991218749286846,33.875,13.583903558897784,82.93503770527572,33.11985395166385,248.60237532261544,1.3640413737267754,0.625,0.49029033784546006,0.2,0.40509574683346666,74.61544057672732,30.27188661153442
mitä eroa näillä on>,42,0.0,19.5,11.69045194450012,36.376192215262144,9.192394809247785,1.8,4.592077905173157,5.675,1.9399643137082543,3.15,5.096756132769458,0.475,0.5986094998689324,0.75,0.9540735874430284,0.723562309224046,0.11714136099766932,31.525,10.76791887613744,76.90667143710945,16.649008105396245,248.54547865375676,2.1390702323345105,0.55,0.5038314736557788,0.175,0.38480764425479264,65.54072572171856,32.557524776647725
mitä sinä luulet>,66,0.0,19.5,11.69045194450012,26.155819506492712,14.143857326780775,3.625,6.019998722207889,5.7,3.0059769519903905,6.475,10.801204823584527,0.65,0.6621642835894567,0.925,0.9167249398727054,0.6637718913646917,0.19134387988010118,32.7,24.49405998112551,70.84453166995641,31.759841831091986,249.22133492089975,4.8863403897259365,0.625,0.4902903378454601,0.325,0.47434164902525683,89.30814410096575,52.35589947930582
nähdään siellä pian>,67,0.0,19.5,11.69045194450012,34.169844770793546,8.709150902804986,1.375,4.3951459238923665,5.825,1.7080127904403097,3.425,3.2414582030393793,0.6,0.7089175569585666,0.975,0.9469925405170156,0.6901839824501489,0.10113742536569409,32.5,8.54250308600231,89.92826651169614,21.688163734421405,249.03949651661028,1.078561411713267,0.725,0.4522025867763026,0.1,0.30382181012509996,73.06935416191651,20.400069650451833
näitkö minun viestini>,64,0.0,19.5,11.69045194450012,31.788182717873035,10.080534646325878,2.125,4.745780852234529,6.85,2.567548965902635,6.425,6.957333338247289,0.625,0.6674674677561601,1.475,1.1764243957749088,0.6887200483621357,0.15156484667092907,39.875,15.819798533515701,76.29819489620105,25.83262614945453,247.6035260040585,1.168493901449448,0.625,0.49029033784546006,0.25,0.43852900965351455,72.90129362770485,32.77905753017444
olen avoin ehdotuksille>,44,0.0,19.5,11.69045194450012,32.87701236512415,10.802574839010845,1.675,5.493060890679981,7.375,1.9959895688540956,5.75,7.358058551073485,0.75,0.9805806756909201,1.275,1.2605961145833207,0.6788061770048192,0.13897478039768765,42.1,13.543472266211536,103.21317272507854,24.85560896732753,248.56173015064263,5.449287086570409,0.775,0.4229020617662603,0.1,0.3038218101251,75.52357231833818,33.80915085057227
olen avoin kaikelle>,68,0.0,19.5,11.69045194450012,32.48827942948086,9.980696821686248,2.825,6.258891111747987,5.625,1.876815360507234,3.75,3.3339742973491284,0.5,0.6793662204867575,1.05,0.9857965671450025,0.6391762675871225,0.12932262796973942,30.975,10.052394790578063,86.38562306578075,31.889209891676508,250.5187329224862,3.551026761344405,0.65,0.4830458915396479,0.175,0.3848076442547927,85.13306934441285,26.585023086520565
olen hyvin väsynyt>,57,0.0,19.5,11.69045194450012,31.633223197760657,10.836182750168517,2.525,5.5144913985439645,5.25,1.918198941582228,4.175,4.528471185957937,0.7,0.8227533512074423,1.0,0.9336995618478524,0.6417520011097365,0.17677174572275847,30.525,10.50515746351921,69.19707334043824,24.246531728408677,252.7063993255377,16.51095276162809,0.675,0.4743416490252569,0.225,0.4229020617662604,85.77091103408118,40.65171163908948
