,sentence.id,sentence.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
agent.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,21.794494717703365,29.816400354594045,13.139661919650806,3.24,6.7038512529457,6.506666666666667,3.546499352552832,6.586666666666667,11.43736566405627,0.5066666666666667,0.6652236635316895,1.36,1.4392190074312359,0.6299724771677968,0.15322285520266124,38.36,26.41899398620703,88.13864623131566,37.749151648891115,258.5584414034393,42.133183530931476,0.6266666666666667,0.48694672923957205,0.25333333333333335,0.4378489599299188,92.25462613513083,45.48764845946198
1,38,21.794494717703365,32.3436554090096,11.195210527638718,3.026666666666667,5.620842808144867,6.333333333333333,2.543318396990135,5.693333333333333,9.375029129083876,0.48,0.7044261609396801,1.2266666666666666,1.3312596486982737,0.639457315188924,0.12558108520851471,36.92,20.60881469767835,85.0522922670857,32.468671684914725,253.9337648197066,30.24310399639788,0.5066666666666667,0.5033222956847166,0.29333333333333333,0.4583558553025041,86.64371834636925,35.90882886018526
2,38,21.794494717703365,31.90460929024732,10.863308729722513,3.026666666666667,5.9547240690680825,6.213333333333333,2.4511074900803367,4.946666666666666,6.457539765252695,0.6133333333333333,0.7692279972230025,1.24,1.2062898221966123,0.660845027161352,0.1339065385502404,35.053333333333335,15.047576201819002,87.07053464212221,33.833719041329395,248.39292926161085,7.626249477116512,0.56,0.49972965664419966,0.29333333333333333,0.45835585530250406,79.17880627156761,28.477959215291495
3,38,21.794494717703365,31.218138964541474,12.77873388926804,3.2,6.186296975596167,6.386666666666667,2.789426625832073,5.693333333333333,8.278877932414503,0.48,0.7418020425088289,1.2666666666666666,1.3288211940534989,0.631299710319251,0.17308725594438648,36.77333333333333,19.16681629397138,85.56753959765443,36.75570638667801,250.87292200444242,14.85809466517231,0.5066666666666667,0.5033222956847168,0.26666666666666666,0.44519456218399406,85.13336609638618,39.06431382808957
4,38,21.794494717703365,31.659151656034332,10.649860331844128,2.8533333333333335,5.746193412924659,6.386666666666667,3.1014091537136363,5.746666666666667,8.223390063966571,0.7066666666666667,0.8506489308778347,1.2666666666666666,1.287500546663052,0.646637474469547,0.11956387946196782,36.906666666666666,20.636607026096843,87.61555452623377,34.76528563882248,253.33739766950947,31.107769904598687,0.6,0.49319696191607193,0.26666666666666666,0.44519456218399406,85.2270220808,36.80200195960437
5,38,21.794494717703365,31.15846716261696,11.311872653483505,3.48,6.431258125832074,6.36,2.836251809047342,6.44,11.189087347754313,0.48,0.7418020425088288,1.2666666666666666,1.266334712310929,0.6431483909447936,0.15435342489564724,37.70666666666666,23.906220683901243,83.21949515425517,35.15576533838558,247.61617682472726,5.420420516331072,0.6133333333333333,0.4902656018530776,0.26666666666666666,0.445194562183994,81.40669340976078,35.810982624095075
6,38,21.794494717703365,32.188930668518815,13.376403733340098,2.76,5.802702073288905,6.64,3.5627198841577443,8.0,15.865141118272561,0.5733333333333334,0.7198598462188305,1.08,1.3229778041487583,0.6408492902618879,0.18447074394295318,41.946666666666665,34.17755440673345,86.75353997221355,36.68537237973812,252.38944063883255,24.190767722959805,0.56,0.49972965664419966,0.22666666666666666,0.42149455234635913,85.6290680925774,45.81353045370155
7,38,21.794494717703365,33.287077805341305,11.53674730830911,2.1866666666666665,5.316199956922423,6.6,2.696343870924158,5.0,7.205478396256484,0.5866666666666667,0.806951777475687,1.08,1.17127788841585,0.659944715657237,0.1380858842010772,36.733333333333334,17.95891206400105,89.6612181174531,34.07098292264774,253.33335222162287,30.55005444699052,0.5733333333333334,0.497923616559737,0.21333333333333335,0.41241979837307763,81.61367452098175,38.546086093632276
