episode,mean_reward,sd_reward,min_reward,max_reward,mean_td_error,sd_td_error,min_td_error,max_td_error
0,-0.10877635593870386,0.10877635593870386,-0.2175527118774077,0.0,-0.10877635593870386,0.10877635593870386,-0.2175527118774077,0.0
10000,3.3108905678453913,2.271959313728238,-0.21759839313609602,4.986184489442036,0.3913305678454004,1.5240236078693816,-4.402179382786863,4.782598367421217
20000,3.2660306892859063,2.289503030806101,-0.21761642741746148,4.986184489442036,0.01339068928594723,1.4831453538323012,-4.428384326986379,4.607820617213111
30000,3.1912979548384954,2.3179191077620653,-0.2176220101141199,4.986184489442036,-0.13667204516143425,1.5607834312544882,-4.418384326986352,4.87161567301358
40000,3.167860938041508,2.3268755424362464,-0.21758607369823674,4.986184489442036,-0.19981906195839258,1.6284362726715973,-4.428384326986315,4.87161567301358
50000,3.216350374611003,2.308882965877011,-0.21761166314262065,4.986184489442036,-0.09808962538887206,1.520975960668114,-4.422179382786737,4.6378206172131105
60000,3.2858698634005896,2.2779552760817543,-0.2176220101141199,4.986184489442036,-0.12513013659925906,1.5950534709088733,-4.438384326986241,4.607820617213112
70000,3.3125755055290522,2.2652954232223954,-0.21761288068678367,4.986184489442036,-0.1519444944707671,1.5831843800836056,-4.43838432698624,4.607820617213113
80000,3.399763678717225,2.225345799121976,-0.2176220101141199,4.986184489442036,-0.10264632128255959,1.545716839354576,-4.428384326986305,4.8878206172131105
90000,3.303515599482673,2.270675719677577,-0.21761642741746148,4.986184489442036,-0.19030440051708603,1.6496145947596443,-4.428384326986048,4.8878206172131105
100000,3.408758233215048,2.222588636142741,-0.21761642741746148,4.986184489442036,-0.03193176678468255,1.4738450160312548,-4.432179382786753,4.607820617213114
110000,3.2997087418768465,2.2751822518951412,-0.21761288068678367,4.986184489442036,-0.10067125812286057,1.4954297195142676,-4.428384326986142,4.607820617213114
120000,3.2926050608251964,2.2737998916123003,-0.21761166314262065,4.986184489442036,-0.1685949391744834,1.6532989350755878,-4.428384326986136,4.607820617213115
130000,3.383032415079263,2.233463291590353,-0.21759839313609602,4.986184489442036,-0.15224758492037987,1.650515461866454,-4.4283843269860546,4.591615673013584
140000,3.547482850316657,2.143910166135166,-0.21761288068678367,4.986184489442036,-0.04281714968295852,1.610657170697129,-4.428384326986174,1.646184489442037
